commit_sha,strategy,tests_available,tests_selected,failures_available,failures_detected,duration_available,duration_selected,abstained,escaped,failure_recall,time_reduction
mut_e451fed246dc,1. Full Test Suite,191.0,191.0,1.0,1.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_e4a7ee5b9f27,1. Full Test Suite,507.0,507.0,90.0,90.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e540b63f1c85,1. Full Test Suite,507.0,507.0,4.0,4.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e598ed37661f,1. Full Test Suite,191.0,191.0,8.0,8.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_e5e6b23d189f,1. Full Test Suite,191.0,191.0,8.0,8.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_e63ee744d58d,1. Full Test Suite,365.0,365.0,5.0,5.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_e684824e8436,1. Full Test Suite,507.0,507.0,2.0,2.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e695af362c3b,1. Full Test Suite,895.0,895.0,4.0,4.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_e6f99fe59835,1. Full Test Suite,365.0,365.0,20.0,20.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_e6f9c95fe4b4,1. Full Test Suite,191.0,191.0,3.0,3.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_e77e3c1a382e,1. Full Test Suite,895.0,895.0,2.0,2.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_e79763fc7b17,1. Full Test Suite,365.0,365.0,47.0,47.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_e840ceefe4b7,1. Full Test Suite,895.0,895.0,1.0,1.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_e84137c4f7b7,1. Full Test Suite,507.0,507.0,1.0,1.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e86b7cdde967,1. Full Test Suite,507.0,507.0,1.0,1.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e8a9e14532e3,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_e8b75853d281,1. Full Test Suite,507.0,507.0,4.0,4.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e8e969479d19,1. Full Test Suite,507.0,507.0,0.0,0.0,3.8465999999999636,3.8465999999999925,0.0,0.0,,-7.531752999057062e-13
mut_e8f51e73dd46,1. Full Test Suite,191.0,191.0,2.0,2.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_e9300e1564b7,1. Full Test Suite,365.0,365.0,2.0,2.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_e9dd4aa61447,1. Full Test Suite,365.0,365.0,45.0,45.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_e9f268f6ceae,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_eb30b583ee7e,1. Full Test Suite,349.0,349.0,68.0,68.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_ec0d392814db,1. Full Test Suite,507.0,507.0,37.0,37.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_ec1d454c6747,1. Full Test Suite,507.0,507.0,2.0,2.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_ec28ba8ea5d6,1. Full Test Suite,365.0,365.0,2.0,2.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_ecaed389765b,1. Full Test Suite,507.0,507.0,3.0,3.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_ecb13c489ff3,1. Full Test Suite,507.0,507.0,92.0,92.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_ecbc76dc1646,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_ed4d1bdaa59e,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_ed9e5f0b9b69,1. Full Test Suite,895.0,895.0,3.0,3.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_edda2e070d47,1. Full Test Suite,507.0,507.0,2.0,2.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_ee21a9b323b3,1. Full Test Suite,895.0,895.0,4.0,4.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_ee6f2cc70cef,1. Full Test Suite,349.0,349.0,52.0,52.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_ee813226383c,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_eea66e82ba39,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_eeee9e9a5f8f,1. Full Test Suite,349.0,349.0,2.0,2.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_ef2e652b5cd6,1. Full Test Suite,365.0,365.0,0.0,0.0,4.793700000000005,4.793700000000021,0.0,0.0,,-3.268496584496461e-13
mut_ef3ec1969ca8,1. Full Test Suite,507.0,507.0,0.0,0.0,3.8465999999999636,3.8465999999999925,0.0,0.0,,-7.531752999057062e-13
mut_ef55ac592d94,1. Full Test Suite,349.0,349.0,2.0,2.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_ef5ae42fef7e,1. Full Test Suite,349.0,349.0,3.0,3.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_ef68dbeea99f,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_ef77608e9963,1. Full Test Suite,349.0,349.0,5.0,5.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_efd43e5ff379,1. Full Test Suite,365.0,365.0,1.0,1.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_efee4bf9e8a0,1. Full Test Suite,365.0,365.0,64.0,64.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_eff8901c9a2f,1. Full Test Suite,365.0,365.0,5.0,5.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f090362342f3,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_f0c31847ee45,1. Full Test Suite,191.0,191.0,16.0,16.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_f11fd8798731,1. Full Test Suite,365.0,365.0,39.0,39.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f14a2d9d7381,1. Full Test Suite,349.0,349.0,4.0,4.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f14adc221828,1. Full Test Suite,895.0,895.0,40.0,40.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_f1510c477b77,1. Full Test Suite,365.0,365.0,25.0,25.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f1691d1bf5e2,1. Full Test Suite,365.0,365.0,24.0,24.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f1b08f78c308,1. Full Test Suite,365.0,365.0,12.0,12.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f2146d8bf14a,1. Full Test Suite,349.0,349.0,0.0,0.0,2.321400000000014,2.321399999999999,0.0,0.0,,6.536993168992922e-13
mut_f23c3fd076fb,1. Full Test Suite,349.0,349.0,2.0,2.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f2f41ed26fd9,1. Full Test Suite,365.0,365.0,22.0,22.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f2fbb8b10761,1. Full Test Suite,191.0,191.0,17.0,17.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_f310d6be9786,1. Full Test Suite,365.0,365.0,68.0,68.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f37e77045099,1. Full Test Suite,349.0,349.0,0.0,0.0,2.321400000000014,2.321399999999999,0.0,0.0,,6.536993168992922e-13
mut_f3a9789e0bc0,1. Full Test Suite,507.0,507.0,0.0,0.0,3.8465999999999636,3.8465999999999925,0.0,0.0,,-7.531752999057062e-13
mut_f3d469a1a06c,1. Full Test Suite,507.0,507.0,178.0,178.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
